txt,x,y,two,x2,y2,,
in,0,0.3,,-6,-6,,
lacking,0.3,0.4,13,2.4,1.1,,
surprises,1.6,0.4,63,7.8,7.4,,
in,0,0.8,53,4.4,8,,
selfishly,0.3,1.2,10,2.1,0.5,,
surmising,1.7,1.2,,-6,-6,,
rose,2.9,1.25,3,0.45,-0.2,,
tint,3.4,0.95,46,1.4,7.8,,
opaques,3.8,0.9,11,2.2,0.7,,
a,4.55,0.9,,-6,-6,,
lucky,4.7,0.9,37,5.3,2.3,5.3,2.3
un,5.4,0.9,,-6,-6,,
truth,5.65,0.95,52,3.9,8.3,,
brewed,2.9,1.75,21,3.7,2.7,,
storms,3.6,1.85,15,2.6,1.5,,
renew,4.3,1.9,57,5.1,7,,
ship,5.1,1.9,33,4.1,1.1,,
sinking,5.8,1.9,35,4.7,1.7,,
bailing,6.5,1.85,,-6,-6,,
needs,7.2,1.85,42,6.8,4.8,,
tessellate,2.7,3.5,48,2,7.5,,
to,3.6,3.6,38,5.6,2.8,,
try,3.8,3.5,,-6,-6,,
two,3.9,3.4,54,4.5,7.8,,
the,2.65,4.5,1,0.25,-0.5,,
manegment,3.2,4.5,,-6,-6,,
arrives,4.4,4.5,34,4.4,1.4,,
who,5.2,4.5,,-6,-6,,
concentrates,2,5.5,,-6,-6,,
as,3.3,5.5,,-6,-6,,
a,3.6,5.5,28,4.4,4.1,,
rival,3.8,5.5,55,4.5,7.5,,
wages,3,6.5,61,6.5,8.2,,
florescent,3.3,6.4,7,0.85,0.43,,
sunshine,3.7,6.6,18,3.4,2.1,,
with,4.5,6.5,,-6,-6,,
a,4.95,6.5,19,3.5,2.3,,
rifle,5.1,6.5,26,4.2,3.7,,
forces,2.2,7.2,56,4.7,7.2,,
into,3,7.25,50,3.2,7.9,,
its,4,7.26,12,2.3,0.9,,
pill,4.6,7.2,29,4.5,4.3,,
box,5.5,7.21,30,4.6,4.5,,
declaring,0.5,8,17,3.3,1.9,,
swamped,1.6,8,32,3.8,0.8,,
selves,2.6,8,,-6,-6,,
strife,3.3,8,58,5.7,6.6,,
a,3.8,8,25,4.15,3.5,,
trifle,3.9,8,,-6,-6,,
and,4.4,8,,-6,-6,,
stocked,4.8,8,,-6,-6,,
shelves,5.8,8,,-6,-6,,
vital,6.6,8,,-6,-6,,
but,1,8.5,36,5,2,,
pale,1.4,8.5,,-6,-6,,
to,1.9,8.5,47,1.8,7.7,,
our,2.1,8.5,,-6,-6,,
brutal,2.5,8.5,51,3.5,8.1,,
sense,3.3,8.5,40,6.2,3.8,,
of,3.9,8.5,43,7.1,5.3,,
freedom,4.3,8.5,24,3.85,3.3,,
and,2,9.5,23,3.6,3.1,,
pharmacy,3,9.5,20,3.6,2.5,,
found,4,9.5,,-6,-6,,
hoax,5,9.5,22,3.8,2.9,,
now,0.8,11,,-6,-6,,
look,1.3,11,,-6,-6,,
with,1.8,11,5,0.65,0.1,,
urgent,2.3,11,6,0.75,0.25,,
clarity,3,11,8,0.95,0.6,,
when,3.7,11,16,3.2,1.7,,
brimming,4.3,11,4,0.55,-0.05,,
with,5.1,11,,-6,-6,,
sublime,5.6,11,45,0.5,8,,
uncertainty,6.5,11,9,2,0.3,2,0.3
to,1.8,11.5,,-6,-6,,
finally,2.2,11.5,39,5.9,3.3,,
see,2.8,11.5,,-6,-6,,
the,3.2,11.5,31,3.5,0.5,3.5,0.5
moon,3.5,11.5,2,0.35,-0.35,,
nestled,4.3,11.5,49,2.8,7.7,,
in,5,11.5,27,4.3,3.9,,
the,5.35,11.5,41,6.5,4.3,,
ocean’s,5.7,11.5,14,2.5,1.3,,
rolling,6.4,11.5,62,7.4,7.8,,
waves,7.5,11.5,44,7.4,5.6,,
the,-6,-6,57,5.4,6.8,,
of,-6,-6,59,6.1,7.5,,
